,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
144,University of the Ozarks,Clarksville,AR,0.6008,25950,14,767,8358,8358,"Rural Town, Urban Cluster 35 miles away from an urban area",32792,1087
156,Williams Baptist University,Walnut Ridge,AR,0.5931,19450,16,556,8980,7700,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",34383,1050
158,Southern Arkansas University Main Campus,Magnolia,AR,0.6361,9680,15,2787,7809,7809,"Rural Town, Urban Cluster 35 miles away from an urban area",34612,1088
176,Azusa Pacific University,Azusa,CA,0.87,42330,10,3344,9222,17944,"Suburb, Population >= 250,000",51213,1132
181,Biola University,La Mirada,CA,0.5663,44382,13,3474,10522,10522,"Suburb, Population >= 250,000",45038,1250
191,California Lutheran University,Thousand Oaks,CA,0.8718,48012,14,2510,15490,17784,"City, Population Size between 100,000 and 250,000",54003,1258
238,Chapman University,Orange,CA,0.7252,60672,12,7665,16954,14524,"City, Population Size between 100,000 and 250,000",56553,1316
247,Claremont McKenna College,Claremont,CA,0.1035,60715,8,1383,18712,18172,"Suburb, Population >= 250,000",80442,1514
270,Dominican University of California,San Rafael,CA,0.9318,49426,9,1139,15489,17784,"City, Population < 100,000",68427,1192
300,Harvey Mudd College,Claremont,CA,0.1336,62817,8,906,19879,7546,"Suburb, Population >= 250,000",118953,1539
315,University of La Verne,La Verne,CA,0.7351,47000,11,3363,15180,17784,"Suburb, Population >= 250,000",53283,1116
339,Loyola Marymount University,Los Angeles,CA,0.4131,55926,11,7138,16098,17784,"City, Population Size >= 250,000",58391,1378
384,Pacific Union College,Angwin,CA,0.4846,33678,13,772,9273,17784,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",51796,1075
385,University of the Pacific,Stockton,CA,0.9323,53682,14,3266,14420,15733,"City, Population Size >= 250,000",64649,1276
389,Pepperdine University,Malibu,CA,0.4871,63142,13,3656,18560,18560,"Suburb, Population >= 250,000",59226,1399
393,Pomona College,Claremont,CA,0.0702,59238,7,1699,19358,16623,"Suburb, Population >= 250,000",55597,1520
399,University of Redlands,Redlands,CA,0.8187,55678,10,2301,15758,15758,"City, Population < 100,000",58890,1215
416,University of San Francisco,San Francisco,CA,0.7118,55532,13,5980,16550,16550,"City, Population Size >= 250,000",69451,1323
421,William Jessup University,Rocklin,CA,0.6592,37150,11,1123,13249,17784,"Suburb, Population >= 250,000",44346,1130
426,Santa Clara University,Santa Clara,CA,0.5211,57534,12,6103,17112,17784,"City, Population Size between 100,000 and 250,000",83996,1379
453,University of Southern California,Los Angeles,CA,0.1202,64726,9,20505,17436,17436,"City, Population Size >= 250,000",72478,1520
457,Thomas Aquinas College,Santa Paula,CA,0.8473,27000,11,516,9900,17784,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",42621,1328
474,Westmont College,Santa Barbara,CA,0.8199,50066,10,1284,15760,8550,"Suburb, Population between 100,000 and 250,000",49335,1380
475,Whittier College,Whittier,CA,0.7545,49864,10,1124,15623,9300,"Suburb, Population >= 250,000",42946,1231
481,Adams State University,Alamosa,CO,0.9918,9776,13,1307,9220,12411,"Rural Town, Urban Cluster 35 miles away from an urban area",36129,1066
485,University of Colorado Denver/Anschutz Medical Campus,Denver,CO,0.7458,9562,17,10922,14230,12411,"City, Population Size >= 250,000",51907,1150
486,University of Colorado Colorado Springs,Colorado Springs,CO,0.8477,9129,15,9102,11400,11800,"City, Population Size >= 250,000",44019,1180
488,University of Colorado Boulder,Boulder,CO,0.8073,13106,18,30598,16146,15164,"City, Population Size between 100,000 and 250,000",53159,1301
490,Colorado College,Colorado Springs,CO,0.163,65028,10,2174,14376,14376,"City, Population Size >= 250,000",42725,1402
494,Colorado School of Mines,Golden,CO,0.58,20040,17,5662,16110,12015,"Suburb, Population >= 250,000",79815,1403
496,Colorado State University-Fort Collins,Fort Collins,CO,0.9077,12874,17,25150,13728,12411,"City, Population Size between 100,000 and 250,000",47821,1199
503,University of Denver,Denver,CO,0.7768,56439,8,5986,15470,15470,"City, Population Size >= 250,000",54037,1348
505,Fort Lewis College,Durango,CO,0.9098,9212,15,3113,12554,12410,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35434,1147
510,Colorado Mesa University,Grand Junction,CO,0.8176,9297,18,7654,11522,10116,"City, Population < 100,000",36748,1062
516,University of Northern Colorado,Greeley,CO,0.7854,11332,14,6024,12870,12014,"City, Population Size between 100,000 and 250,000",41450,1106
521,Regis University,Denver,CO,0.7609,42220,9,2239,13416,12330,"City, Population Size >= 250,000",60613,1149
524,Colorado State University Pueblo,Pueblo,CO,0.9879,9245,15,3008,11220,11440,"City, Population Size between 100,000 and 250,000",44071,1031
531,Western Colorado University,Gunnison,CO,0.9185,10813,16,1673,10286,12411,"Rural Town, Urban Cluster 35 miles away from an urban area",37870,1154
535,University of Bridgeport,Bridgeport,CT,0.8151,35760,14,1604,16350,8776,"City, Population Size between 100,000 and 250,000",41258,1090
536,Central Connecticut State University,New Britain,CT,0.7671,12106,14,7500,12464,12464,"Suburb, Population >= 250,000",49656,1061
539,Connecticut College,New London,CT,0.404,63005,10,1915,17280,17280,"City, Population < 100,000",54310,1427
541,University of Connecticut,Storrs,CT,0.5451,19434,16,18768,13622,15388,"Fringe Town, Urban cluster that is 10 miles from an urban area",58770,1340
544,Eastern Connecticut State University,Willimantic,CT,0.7383,12910,14,3534,16106,10283,"Fringe Town, Urban cluster that is 10 miles from an urban area",46225,1079
545,Fairfield University,Fairfield,CT,0.5218,54455,12,4706,16750,16750,"Suburb, Population >= 250,000",75433,1325
551,University of Hartford,West Hartford,CT,0.8275,46148,8,3876,13512,11902,"City, Population Size between 100,000 and 250,000",41345,1201
561,University of New Haven,West Haven,CT,0.9124,44184,19,4765,18608,13870,"Suburb, Population >= 250,000",49240,1180
568,Quinnipiac University,Hamden,CT,0.8379,51790,11,6021,15950,15700,"Suburb, Population >= 250,000",65742,1216
570,University of Saint Joseph,West Hartford,CT,0.7485,44366,8,821,13240,13240,"City, Population < 100,000",48194,1170
573,Trinity College,Hartford,CT,0.3614,63930,8,2141,16660,16660,"City, Population Size between 100,000 and 250,000",71516,1387
577,Western Connecticut State University,Danbury,CT,0.8351,12345,11,3679,14568,13452,"City, Population < 100,000",44788,1126
582,Delaware State University,Dover,DE,0.5492,8358,16,4588,14108,13494,"City, Population < 100,000",36569,939
583,University of Delaware,Newark,DE,0.7381,15410,15,18665,14234,14234,"Suburb, Population >= 250,000",59828,1290
587,American University,Washington,DC,0.4063,53889,11,7669,15706,15706,"City, Population Size >= 250,000",60487,1386
591,Gallaudet University,Washington,DC,0.5921,17712,6,910,14800,14800,"City, Population Size >= 250,000",31467,896
592,George Washington University,Washington,DC,0.4898,62200,12,10798,15720,15720,"City, Population Size >= 250,000",66229,1420
594,Howard University,Washington,DC,0.5343,31050,14,9243,15880,18380,"City, Population Size >= 250,000",45187,1164
600,Baptist University of Florida,Graceville,FL,0.9211,12450,8,254,5082,10020,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",32776,1045
602,Bethune-Cookman University,Daytona Beach,FL,0.8497,14794,15,2628,10396,10396,"City, Population < 100,000",29210,903
603,Lynn University,Boca Raton,FL,0.8011,41550,18,2789,13200,15829,"City, Population < 100,000",37576,1126
609,Johnson University Florida,Kissimmee,FL,0.7931,18614,10,154,8591,11632,"Suburb, Population >= 250,000",32147,960
610,University of Central Florida,Orlando,FL,0.4104,6368,29,57874,11498,11498,"Suburb, Population >= 250,000",45496,1281
616,Eckerd College,Saint Petersburg,FL,0.6509,48900,11,1986,13854,13854,"City, Population Size >= 250,000",38265,1238
619,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,0.6453,40564,18,7155,12874,12874,"City, Population < 100,000",65864,1237
620,Florida Agricultural and Mechanical University,Tallahassee,FL,0.3293,5785,14,7436,11644,9872,"City, Population Size between 100,000 and 250,000",35527,1077
621,Florida Atlantic University,Boca Raton,FL,0.8132,4879,22,23074,12536,14840,"City, Population < 100,000",44590,1112
623,Flagler College,Saint Augustine,FL,0.8095,23760,14,2591,13590,11700,"Suburb, Population < 100,000",40607,1168
624,Florida College,Temple Terrace,FL,0.7168,18060,11,550,10200,12550,"Suburb, Population >= 250,000",37076,1114
629,Florida Institute of Technology,Melbourne,FL,0.6437,43670,14,3114,12546,12340,"City, Population < 100,000",36415,1213
630,Florida International University,Miami,FL,0.6386,6565,24,39277,11600,13994,"Suburb, Population >= 250,000",46662,1154
635,Florida Southern College,Lakeland,FL,0.5661,40500,14,2702,12400,12400,"City, Population Size between 100,000 and 250,000",43834,1206
636,Florida State University,Tallahassee,FL,0.2504,5656,17,32691,11592,11592,"City, Population Size between 100,000 and 250,000",47426,1309
637,University of Florida,Gainesville,FL,0.2335,6381,16,33673,10950,10950,"City, Population Size between 100,000 and 250,000",54871,1397
651,Jacksonville University,Jacksonville,FL,0.5769,43670,13,2541,15986,17730,"City, Population Size >= 250,000",57035,1165
669,University of Miami,Coral Gables,FL,0.1894,57194,13,12215,16910,21150,"Suburb, Population >= 250,000",60672,1409
673,University of North Florida,Jacksonville,FL,0.705,6389,19,13866,10192,12000,"City, Population Size >= 250,000",44219,1104
674,Nova Southeastern University,Fort Lauderdale,FL,0.758,36300,17,6885,14588,16758,"Suburb, Population >= 250,000",48167,1164
677,Palm Beach Atlantic University,West Palm Beach,FL,0.9466,35900,11,2396,11690,10581,"City, Population Size between 100,000 and 250,000",38362,1126
688,Rollins College,Winter Park,FL,0.4999,56110,11,2567,15580,10100,"Suburb, Population >= 250,000",42072,1265
690,Saint Leo University,Saint Leo,FL,0.801,27050,18,6717,15400,8460,"Fringe Town, Urban cluster that is 10 miles from an urban area",41433,1102
700,University of South Florida,Tampa,FL,0.4393,6410,22,36763,12622,11844,"City, Population Size >= 250,000",45961,1235
702,Stetson University,DeLand,FL,0.938,52320,11,2517,15290,15290,"City, Population < 100,000",42075,1205
712,Trinity Baptist College,Jacksonville,FL,0.4959,14300,10,319,5740,15000,"City, Population Size >= 250,000",32713,987
713,Trinity College of Florida,Trinity,FL,0.5977,16300,12,175,7600,6975,"Suburb, Population >= 250,000",29686,966
715,Warner University,Lake Wales,FL,0.551,28044,13,738,10540,11800,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",35014,968
719,University of West Florida,Pensacola,FL,0.4803,6360,22,8806,11268,11268,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",37283,1166
724,Abraham Baldwin Agricultural College,Tifton,GA,0.6696,3165,19,3160,8230,6200,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",29825,986
725,Agnes Scott College,Decatur,GA,0.6652,45786,11,923,13375,2500,"Suburb, Population >= 250,000",38722,1276
734,Point University,West Point,GA,0.242,22300,13,1041,9000,9000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",33999,990
738,Clark Atlanta University,Atlanta,GA,0.5626,24730,16,3419,10982,10982,"City, Population Size >= 250,000",30788,974
740,Berry College,Mount Berry,GA,0.6631,39376,12,2232,13890,10982,"Suburb, Population < 100,000",41221,1210
744,College of Coastal Georgia,Brunswick,GA,0.9833,3483,23,2812,10930,7234,"City, Population < 100,000",32824,997
746,Clayton  State University,Morrow,GA,0.5632,5068,16,4540,10980,10467,"Suburb, Population >= 250,000",39229,980
749,Columbus State University,Columbus,GA,0.878,5751,17,5637,12080,11622,"City, Population Size between 100,000 and 250,000",35220,1020
751,Covenant College,Lookout Mountain,GA,0.8413,38860,12,808,11688,7000,"Suburb, Population >= 250,000",37290,1315
757,Emory University,Atlanta,GA,0.1135,57948,9,7017,17016,17016,"City, Population Size >= 250,000",68643,1493
759,Fort Valley State University,Fort Valley,GA,0.4309,5832,20,2347,8372,8000,"Fringe Town, Urban cluster that is 10 miles from an urban area",27657,871
761,Georgia Institute of Technology-Main Campus,Atlanta,GA,0.1713,11764,19,17379,12342,12342,"City, Population Size >= 250,000",84375,1480
762,Georgia Southwestern State University,Americus,GA,0.7318,4980,17,2092,8978,8098,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41235,1075
763,Georgia College & State University,Milledgeville,GA,0.7995,8974,15,5185,10948,8140,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",47063,1144
764,Georgia Southern University,Statesboro,GA,0.8889,6485,22,20996,10316,9814,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42367,1057
765,Georgia State University,Atlanta,GA,0.6678,8478,26,28439,13816,14891,"City, Population Size >= 250,000",35468,1127
766,University of Georgia,Athens,GA,0.4255,11180,17,30566,10904,8644,"City, Population Size between 100,000 and 250,000",52437,1335
767,Gordon State College,Barnesville,GA,0.9332,3475,21,2663,9257,6230,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",32102,952
775,Life University,Marietta,GA,0.9777,14406,13,910,18000,18000,"City, Population < 100,000",36691,983
778,Mercer University,Macon,GA,0.7468,39708,13,4568,14046,14046,"City, Population Size between 100,000 and 250,000",46626,1288
779,Morehouse College,Atlanta,GA,0.6001,29468,10,2564,14606,13779,"City, Population Size >= 250,000",39252,1090
783,Oglethorpe University,Atlanta,GA,0.7099,43990,16,1426,14400,14400,"Suburb, Population >= 250,000",39475,1207
785,Piedmont University,Demorest,GA,0.6435,29190,11,1212,11562,10076,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43392,1108
789,Savannah College of Art and Design,Savannah,GA,0.8173,39605,20,13352,15594,12735,"City, Population Size between 100,000 and 250,000",36709,1179
791,Shorter University,Rome,GA,0.9747,22810,15,1121,9400,10450,"City, Population < 100,000",40366,1059
794,Thomas University,Thomasville,GA,0.4609,11080,12,726,7040,9900,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44755,1010
795,Toccoa Falls College,Toccoa Falls,GA,0.6801,22350,17,835,8600,8100,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",32637,1114
796,Truett McConnell University,Cleveland,GA,0.8083,24440,16,828,8856,8856,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",36078,1077
798,Valdosta State University,Valdosta,GA,0.8947,6007,17,7277,8922,10138,"City, Population < 100,000",37512,1027
800,University of West Georgia,Carrollton,GA,0.8012,5941,16,7939,11330,10742,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38654,1026
803,University of Hawaii at Hilo,Hilo,HI,0.8424,7838,12,2381,8248,13484,"Rural Town, Urban Cluster 35 miles away from an urban area",37197,1020
804,University of Hawaii at Manoa,Honolulu,HI,0.7277,12186,14,13915,14053,14053,"City, Population Size >= 250,000",44651,1113
806,Hawaii Pacific University,Honolulu,HI,0.871,31940,16,2650,15278,15278,"City, Population Size >= 250,000",47645,1173
815,Boise Bible College,Boise,ID,1,9770,11,95,7620,15456,"Suburb, Population >= 250,000",32006,950
819,University of Idaho,Moscow,ID,0.7385,8396,16,7120,9898,9898,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41951,1129
820,The College of Idaho,Caldwell,ID,0.4552,34630,10,1052,10820,7500,"Suburb, Population between 100,000 and 250,000",40425,1175
821,Lewis-Clark State College,Lewiston,ID,0.8677,6999,15,2344,8460,8460,"City, Population < 100,000",38299,940
824,Northwest Nazarene University,Nampa,ID,0.8819,36298,13,1115,10500,10116,"Suburb, Population between 100,000 and 250,000",43353,1139
826,Brigham Young University-Idaho,Rexburg,ID,0.9556,4536,19,42213,4676,4676,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38741,1107
832,Augustana College,Rock Island,IL,0.6122,47916,11,2274,11782,11782,"City, Population < 100,000",49016,1145
833,Aurora University,Aurora,IL,0.819,27420,18,3987,12360,4014,"Suburb, Population >= 250,000",48078,1087
839,Bradley University,Peoria,IL,0.7514,37800,12,4133,12196,12196,"City, Population Size between 100,000 and 250,000",55849,1208
864,DePaul University,Chicago,IL,0.7017,42840,17,13968,16068,16068,"City, Population Size >= 250,000",54399,1221
868,Eastern Illinois University,Charleston,IL,0.6796,13101,15,4586,10812,10342,"Rural Town, Urban Cluster 35 miles away from an urban area",41743,1000
870,Elmhurst University,Elmhurst,IL,0.7601,40232,13,2897,11250,10866,"Suburb, Population >= 250,000",51238,1107
876,Governors State University,University Park,IL,0.5748,10468,10,2589,11000,11638,"Suburb, Population >= 250,000",46424,945
878,Greenville University,Greenville,IL,0.9412,30548,12,902,9614,8140,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38514,1003
885,University of Illinois Chicago,Chicago,IL,0.7869,14046,18,21567,14400,14400,"City, Population Size >= 250,000",52246,1232
889,Illinois Wesleyan University,Bloomington,IL,0.4222,53814,11,1518,12418,12418,"City, Population < 100,000",57097,1263
891,Illinois College,Jacksonville,IL,0.7718,36346,12,1011,9964,6300,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42806,1076
893,Illinois Institute of Technology,Chicago,IL,0.6144,50640,13,2877,15570,12600,"City, Population Size >= 250,000",68517,1328
894,Illinois State University,Normal,IL,0.8624,15170,19,18019,10602,8462,"Suburb, Population between 100,000 and 250,000",50073,1111
900,Judson University,Elgin,IL,0.582,30910,10,781,11320,9500,"City, Population Size between 100,000 and 250,000",44116,1032
904,Knox College,Galesburg,IL,0.7332,53259,9,1051,10326,10326,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38260,1311
907,Lake Forest College,Lake Forest,IL,0.5972,52902,12,1724,11898,11898,"Suburb, Population >= 250,000",48499,1281
912,Lewis University,Romeoville,IL,0.7406,36530,14,3650,11956,7500,"Suburb, Population >= 250,000",51812,1133
916,Loyola University Chicago,Chicago,IL,0.7915,49498,13,11626,15520,12840,"City, Population Size >= 250,000",55895,1308
926,Millikin University,Decatur,IL,0.754,26892,10,1603,12836,12836,"City, Population < 100,000",41778,1087
927,Monmouth College,Monmouth,IL,0.907,42214,10,761,10690,7500,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39553,1141
935,North Central College,Naperville,IL,0.6087,43046,12,2304,11998,9420,"City, Population Size between 100,000 and 250,000",47336,1138
936,North Park University,Chicago,IL,0.6801,34020,10,1866,10125,10125,"City, Population Size >= 250,000",47121,1120
939,Northwestern University,Evanston,IL,0.0721,63468,6,8837,19440,19440,"City, Population < 100,000",72370,1526
952,Rockford University,Rockford,IL,0.5491,35050,10,908,10410,7750,"City, Population Size between 100,000 and 250,000",43113,980
953,Roosevelt University,Chicago,IL,0.8832,33068,11,2362,15025,8600,"City, Population Size >= 250,000",40184,973
954,Dominican University,River Forest,IL,0.8953,36500,11,2119,11050,11050,"Suburb, Population >= 250,000",48414,1012
957,University of St Francis,Joliet,IL,0.5842,36000,13,1390,11430,7200,"Suburb, Population >= 250,000",52912,1166
971,Southern Illinois University-Carbondale,Carbondale,IL,0.915,15416,11,7922,10622,10622,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41805,1068
972,Southern Illinois University-Edwardsville,Edwardsville,IL,0.9751,12558,15,9283,10272,10272,"Suburb, Population >= 250,000",43850,1080
976,Trinity Christian College,Palos Heights,IL,0.7068,34325,10,783,10500,4050,"Suburb, Population >= 250,000",43572,1088
977,Trinity International University-Illinois,Deerfield,IL,0.9126,33898,12,409,10840,11500,"Suburb, Population >= 250,000",37614,1076
984,Wheaton College,Wheaton,IL,0.8843,42240,12,2141,11690,11690,"Suburb, Population >= 250,000",47805,1367
986,Anderson University,Anderson,IN,0.5175,34080,9,1111,11420,8300,"City, Population < 100,000",39897,1090
987,Ball State University,Muncie,IN,0.6895,10440,15,13466,10904,10904,"City, Population < 100,000",42460,1191
988,Bethel University,Mishawaka,IN,0.9947,32040,12,1115,10050,8150,"City, Population < 100,000",41189,850
989,Butler University,Indianapolis,IN,0.8206,44460,11,4304,15260,15260,"City, Population Size >= 250,000",61894,1262
995,DePauw University,Greencastle,IN,0.658,55410,9,1732,14400,10000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",53202,1275
997,Earlham College,Richmond,IN,0.7324,50058,6,589,12448,8140,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35308,1261
998,University of Evansville,Evansville,IN,0.7632,41336,10,1460,13840,12024,"City, Population Size between 100,000 and 250,000",45138,1180
999,Franklin College,Franklin,IN,0.9286,36136,11,859,11305,9462,"Suburb, Population >= 250,000",45119,1096
1000,Goshen College,Goshen,IN,0.9354,36660,9,704,11100,8920,"City, Population < 100,000",43624,1132
1001,Grace College and Theological Seminary,Winona Lake,IN,0.8462,29048,18,1458,10276,8000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38506,1103
1002,Hanover College,Hanover,IN,0.7411,41559,11,949,13148,13148,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42878,1214
1004,Holy Cross College,Notre Dame,IN,0.7617,34800,10,422,12000,9000,"Suburb, Population >= 250,000",42492,1320
1006,Huntington University,Huntington,IN,0.775,28830,12,1066,9500,8700,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35959,1100
1008,Purdue University Fort Wayne,Fort Wayne,IN,0.8066,8985,13,5482,10111,10111,"City, Population Size >= 250,000",38842,1101
1009,Indiana University-Indianapolis,Indianapolis,IN,0.8289,10144,13,17278,11252,11252,"City, Population Size >= 250,000",43849,1157
1012,University of Southern Indiana,Evansville,IN,0.9444,10210,16,5491,10058,11194,"Suburb, Population between 100,000 and 250,000",40010,1139
1015,Indiana University-South Bend,South Bend,IN,0.8688,7941,12,3666,9190,9412,"City, Population Size between 100,000 and 250,000",37826,1064
1016,Indiana University-Bloomington,Bloomington,IN,0.8241,11447,17,35401,12228,12228,"City, Population < 100,000",49927,1322
1018,Indiana University-Southeast,New Albany,IN,0.8523,7941,12,3133,11012,9412,"Suburb, Population >= 250,000",39656,1124
1026,Indiana Wesleyan University-Marion,Marion,IN,0.8672,29684,13,2097,10050,7032,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",51220,1120
1031,University of Notre Dame,Notre Dame,IN,0.1291,60301,9,8917,16710,16710,"Suburb, Population >= 250,000",84235,1515
1032,Oakland City University,Oakland City,IN,0.5572,26400,11,604,10400,7596,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",39407,1010
1036,Rose-Hulman Institute of Technology,Terre Haute,IN,0.7302,54602,12,2154,16647,16647,"City, Population < 100,000",84392,1398
1037,University of Saint Francis-Fort Wayne,Fort Wayne,IN,0.9806,34050,12,1572,11220,10720,"City, Population Size >= 250,000",42941,1050
1038,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,0.7817,32700,9,801,11350,6920,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",36096,1021
1039,Saint Mary's College,Notre Dame,IN,0.8389,49930,9,1378,13580,9350,"Suburb, Population >= 250,000",53552,1259
1042,Taylor University,Upland,IN,0.7461,37476,13,1767,11058,8846,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",43286,1233
